1	1	101273
1	1	1020907
1	1	1027433
1	1	1031958
1	1	1033713
1	1	1034199
1	1	1034770
1	1	1035600
1	1	1045204
1	1	1051830
1	1	1052789
1	1	1052964
1	1	1068942
1	1	1070513
1	1	1098002
1	1	1099507
1	1	1107598
1	1	1108994
1	1	1127845
1	1	1133929
1	1	1134330
1	1	1135445
1	1	1136572
1	1	1137811
1	1	1138386
1	1	1140569
1	1	1151902
1	1	115384
1	1	1176158
1	1	1178668
1	1	1179240
1	1	1182502
1	1	1183128
1	1	1191608
1	1	1211297
1	1	1212059
1	1	1213510
1	1	1214649
1	1	1217119
1	1	1256789
1	1	1278257
1	1	1279449
1	1	1290518
1	1	130591
1	1	1317902
1	1	1342936
1	1	1346073
1	1	1359782
1	1	140121
1	1	1429643
1	1	142981
1	1	1430759
1	1	1431867
1	1	143360
1	1	144300
1	1	144972
1	1	1458309
1	1	145953
1	1	1460887
1	1	147845
1	1	14991
1	1	1561
1	1	1578280
1	1	157779
1	1	1579772
1	1	158979
1	1	1602278
1	1	1603851
1	1	1613917
1	1	1620713
1	1	1630398
1	1	1633415
1	1	1702239
1	1	1703572
1	1	1719079
1	1	1720557
1	1	1818379
1	1	186485
1	1	1867877
1	1	1903593
1	1	1911566
1	1	195406
1	1	1988382
1	1	2013797
1	1	2017358
1	1	2044030
1	1	204314
1	1	2045550
1	1	2047191
1	1	2048584
1	1	2049834
1	1	2059294
1	1	2059809
1	1	2070034
1	1	2070766
1	1	2105971
1	1	2112963
1	1	2122734
1	1	2134421
1	1	2171374
1	1	2202909
1	1	2203477
1	1	2204014
1	1	2206748
1	1	2207823
1	1	2208496
1	1	2209242
1	1	2209784
1	1	2210417
1	1	2221966
1	1	2229792
1	1	2230044
1	1	2235515
1	1	2237433
1	1	2258179
1	1	22543
1	1	2294896
1	1	2301814
1	1	2303100
1	1	2365275
1	1	2366471
1	1	2374392
1	1	2389606
1	1	2390829
1	1	2391695
1	1	2393440
1	1	2448448
1	1	2449019
1	1	2454915
1	1	2455691
1	1	2456293
1	1	2487177
1	1	2492397
1	1	2502313
1	1	252574
1	1	2530393
1	1	2542928
1	1	2545216
1	1	2546237
1	1	2567558
1	1	2622511
1	1	2642549
1	1	2647713
1	1	2648455
1	1	2653607
1	1	2533
1	1	2691814
1	1	2708006
