98	1504
1568	2668
2678	3757
3771	6188
6622	7059
14366	14959
15166	15426
15841	16023
16180	17130
22060	22683
22730	24187
24197	24724
30662	32149
35390	36874
42513	44528
47613	49328
49417	50970
51147	52124
52127	53071
53219	54208
54435	55442
57979	59355
59365	59979
60328	60852
63888	65930
66586	67365
67549	68121
69776	70303
70395	70718
70875	72068
76660	76860
76850	77290
77303	78193
78197	79621
79630	80187
80191	81318
81323	82624
82621	83520
83524	84444
84441	85211
85208	85684
85687	86190
86190	87593
87616	88146
88252	88653
88650	90248
90245	91891
92212	92913
96661	98193
98271	99050
99062	99697
99694	101328
101378	101644
101648	102046
102114	102860
105472	106533
106674	107108
107738	110530
112106	112723
113516	114154
114154	114696
114704	115192
115411	116802
126019	127848
127929	128486
129186	130130
130102	130536
130643	131560
137260	138177
138214	140235
140235	141737
141737	142954
143015	143458
143491	144090
144077	144466
144477	145118
145111	146121
146090	147289
147297	147788
147850	148551
151908	152693
152805	153269
155891	157771
157900	158403
158502	158801
158985	159704
159832	161124
169033	169203
177790	178815
178817	179860
179898	181724
181734	182591
182624	183463
183592	184017
185478	186425
186511	188610
189779	190495
190606	191247
194515	195189
195493	195729
195743	195913
196100	196576
196672	197481
200551	201555
202975	203361
203370	204077
204413	205522
205524	206492
249462	250628
251460	252596
252671	253114
253204	255369
255559	256839
256918	257190
257343	258374
258364	259650
259631	260653
260658	262019
262059	263201
263198	264091
264097	265245
265256	266089
266070	266684
266677	267303
267355	268530
268739	270712
272606	273250
274395	274742
275900	276325
279008	279250
287729	287950
288409	288720
288735	289364
289382	289984
289981	290283
290299	291123
291145	291423
291434	291766
291785	292483
292495	292905
292905	293096
293096	293350
293514	293885
293899	294216
294241	294780
294798	295103
295133	295525
295539	296072
296082	296435
296450	296953
296961	297137
297143	297577
297598	298932
298971	299084
299234	299590
299609	299998
300026	300646
300671	301663
301690	302070
303712	304311
305009	306388
309358	310233
310292	311200
311219	312649
312892	314616
314641	315258
316411	316515
321359	321562
322376	324175
324172	328077
328105	328452
330569	331927
331933	332568
332881	333873
333883	335475
335469	336173
341978	342913
343027	343218
344570	344881
344902	345159
345370	346545
346853	347656
347653	348126
348136	348615
355758	356609
363043	363819
364005	364553
364557	365603
366132	367091
367418	369217
369678	371402
371404	371898
373898	374659
374778	376610
386703	388061
389562	390335
390572	391279
391686	391976
393238	394368
399627	400643
401059	401874
402763	403122
403119	403601
403617	404420
405782	407482
407482	408153
411296	412828
413717	414973
415084	417927
417995	419425
421130	421777
421781	422239
422286	423092
423140	423724
423976	425856
425860	428145
431636	432739
432991	433419
433435	433827
434372	434962
434962	436227
436224	436961
437059	437694
437711	438193
441772	442635
443489	444439
444445	444762
444759	446552
446614	448095
448092	449456
449456	450538
450577	451890
451912	453108
453095	454162
454186	455643
455796	456617
456610	457872
457903	459138
459240	460157
461086	463812
463939	464340
464454	465263
465745	466884
466901	470134
470343	471122
488770	489729
490069	492420
492422	492871
494031	494438
494497	494979
496062	498521
498542	499498
499495	500775
501600	502487
502765	503445
503557	504108
505248	506681
506790	507566
510015	511325
512095	513012
513071	513859
513904	515643
516013	516903
516946	518463
518710	520044
520569	520820
522139	522450
523766	524287
524290	526536
526546	527337
527377	528198
528208	529059
531999	532889
533182	533478
534224	535786
535857	536792
536857	539685
539902	540402
540591	541022
541047	542012
546324	546461
546497	546838
546949	547278
549488	550471
550690	551763
551792	552919
556507	558444
558458	558757
563940	564917
564919	565647
565797	568370
572882	574243
580629	580961
580974	581810
582129	582437
585443	586132
586173	587471
587471	588436
592259	594466
594497	596170
596173	596991
597024	597722
600446	601351
601958	603586
603718	605028
605894	607102
607335	608387
608534	609667
609833	610162
610217	612040
612055	613002
614231	614950
615076	615582
615611	616825
616862	617245
617317	617643
617699	618214
618236	620089
620103	620441
620485	620679
620852	622150
622239	622664
622884	624011
624528	625478
625485	626603
626630	627898
628023	628637
628650	629810
629864	629986
629995	631491
631558	632439
632734	632958
634537	636003
636102	637655
641871	642464
642637	643617
643958	645271
645314	646510
646557	647462
650761	651678
651813	653081
653291	654622
654613	655455
666870	667694
673627	674307
674297	674950
676211	676654
676644	676997
680656	681252
681664	682938
683274	685184
685402	686550
687155	687664
687645	688262
688259	689572
689562	689972
690273	691832
691998	692531
695173	699066
702576	702884
705021	705560
708123	709412
709678	710142
710234	711481
711593	711982
712102	713241
713259	714509
714626	715075
715082	716200
716218	716871
717007	718116
718285	718755
718755	719222
719301	720266
720307	720813
724183	724944
724959	725906
726383	727831
728524	729444
729425	730048
730038	730436
730433	731524
739023	739568
739571	740347
743338	743889
743991	744944
745136	746560
746723	748408
749432	750682
763645	764115
770050	771285
778764	780020
780050	781138
781142	782002
782039	782422
782428	783237
783290	784141
784374	786056
