0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	4	4	4	4	6	6	6	6	6	8	11	13	13	14	14	17	18	18	17	18	18	17	17	17	18	18	17	17	16	16	16	16	15	14	13	14	17	16	16	14	13	11	10	10	11	11
0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	4	9	10	10	11	12	12	13	13	13	13	14	16	16	16	16	15	17	17	17	17	16	16	17	16	15	14	14	12	12	11	11	11	11	11	11	12	14	12	9	6	6	6	6	6	8	8	7	7	7
2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	18	45	45	48	53	57	57	58	58	59	59	60	63	65	68	68	69	71	70	70	71	72	71	67	66	66	67	66	64	61	58	54	56	53	45	45	46	43	40	35	35	34	37	38	38	38	38	39	42
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	19	96	105	105	109	114	118	122	125	130	132	136	138	143	148	152	154	157	160	160	159	159	153	157	151	150	147	139	138	129	124	117	114	113	107	96	96	95	95	94	98	98	99	103	102	98	95	94	90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	7	4	5	5	4	4	4	4	4	4	3	3	3	3	3	2	2	2	2	2	2	1	1	2	1	2	2	2	2
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	11	12	14	14	14	14	15	15	16	19	21	21	21	21	21	20	21	21	19	19	18	18	18	17	15	14	14	13	13	12	13	16	15	17	17	18	19	20	20	20	21	20	20	21	22	23	23	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	4	4	4	5	5	4	4	4	4	6	5	5	5	5	5	5	5	4	4	5	5	5	4	5	5	5	5	5	5	5	5
0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	0	2	28	31	32	35	35	36	36	40	41	47	50	53	58	63	64	64	64	67	69	69	70	70	69	69	69	69	69	67	59	55	51	53	57	55	52	50	50	51	48	47	46	45	46	45	47	51	53	51	53
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	13	15	16	17	18	18	18	19	20	22	23	25	25	25	25	25	26	27	26	27	24	22	23	21	21	21	21	20	20	20	19	20	20	19	19	18	17	17	17	16	17	16	15	14	16	15	14	15	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	5	6	10	10	10	11	11	11	11	11	11	13	13	13	13	13	13	13	17	19	19	18	19	18	17	18	17	17	15	15	15	17	17	17	16	16	15	14	15	15	15	17	17	17	15	16	16	17	17
